d_title,d_brand,d_price,d_rating,d_stock,d_link
HEAD Ti. Conquest Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 3/8 in Grip,Head,$38.25,4.3 out of 5 stars,In Stock,https://amazon.ca/HEAD-Ti-Conquest-Tennis-Racket/dp/B095RQ6FWR/ref=sr_1_1?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-1
"Head Tour Pro Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 3/8 in Grip, Yellow",Head,$49.99,4.5 out of 5 stars,In Stock,https://amazon.ca/HEAD-Tour-Pro-Tennis-Racket/dp/B09MWPHMC4/ref=sr_1_2?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-2
"Wilson Tour Slam Red/Black, 4 3/8""",Wilson,$49.99,4.7 out of 5 stars,In Stock,https://amazon.ca/Wilson-Tour-Slam-Red-Black/dp/B01MXXJS0E/ref=sr_1_3?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-3
HEAD Ti. Conquest Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 1/2 in Grip,Head,,4.5 out of 5 stars,In Stock,https://amazon.ca/HEAD-Ti-Conquest-Tennis-Racket/dp/B095RYQ9KC/ref=sr_1_4?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-4
"Wilson Tour Slam Strung Tennis Racquet, 4 1/2-Inch, Black/Green",Wilson,,4.6 out of 5 stars,In Stock,https://amazon.ca/Wilson-Strung-Tennis-Racquet-2-Inch/dp/B00TQKBPV8/ref=sr_1_5?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-5
Wilson Federer Adult Tennis Racket,Wilson,$97.88,4.5 out of 5 stars,Only 1 left in stock.,https://amazon.ca/Wilson-WRT30400U3-Federer-Tennis-Rackets/dp/B01AWLHRSO/ref=sr_1_6?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-6
Wilson Tour Slam Lite Tennis Racket,Wilson,$62.99,4.4 out of 5 stars,In Stock,https://amazon.ca/Wilson-Tour-Slam-Tennis-Racket/dp/B01C2MTHVG/ref=sr_1_7?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-7
HEAD Ti. Conquest Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 1/4 in Grip,Head,$51.78,4.4 out of 5 stars,In Stock,https://amazon.ca/HEAD-Ti-Conquest-Tennis-Racket/dp/B095RKT7V7/ref=sr_1_8?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-8
Wilson Sporting Goods Essence Adult Strung Tennis Racket Without Cover,Wilson,$49.95,4.5 out of 5 stars,In Stock,https://amazon.ca/Wilson-Essence-Strung-Tennis-Racket/dp/B00AY6D4EY/ref=sr_1_9?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-9
Wilson Aggressor 112 Tennis Racquet (Strung),Wilson,,,,https://amazon.ca/Wilson-Aggressor-Tennis-Racquet-Strung/dp/B0C2DLPH6Q/ref=sr_1_10?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-10
"HEAD Ti. Instinct Comp Tennis Racket - Pre-Strung Light Balance 27 Inch Racquet - 4 1/4 in Grip, Blue",Head,$91.71,4.6 out of 5 stars,In Stock,https://amazon.ca/HEAD-Instinct-Comp-Tennis-Racket/dp/B09MX7VC5P/ref=sr_1_11?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-11
HEAD Geo Speed Adult Tennis Racket - Pre-Strung Head Light Balance 27.5 Inch Racquet,Head,$77.84,4.6 out of 5 stars,In Stock,https://amazon.ca/HEAD-Geo-Speed-Tennis-Racquet/dp/B08D6X7583/ref=sr_1_12?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-12
Wilson U.S.Open Junior Tennis Racquet,Wilson,,4.6 out of 5 stars,,https://amazon.ca/US-Open-25-Tennis-Racket/dp/B07MTPK5Z5/ref=sr_1_13?crid=13LKS7TIUJ9MY&keywords=tennis+racket&qid=1687978156&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sprefix=%2Caps%2C820&sr=1-13
