title,brand,price,rating,total reviews,stock,link
HEAD Ti. Conquest Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 3/8 in Grip,Head,38.25,4.3,277,In Stock,https://amazon.ca/HEAD-Ti-Conquest-Tennis-Racket/dp/B095RQ6FWR/ref=sr_1_1?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-1
"Head Tour Pro Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 3/8 in Grip, Yellow",Head,49.99,4.,107,In Stock,https://amazon.ca/HEAD-Tour-Pro-Tennis-Racket/dp/B09MWPHMC4/ref=sr_1_2?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-2
"Wilson Tour Slam Red/Black, 4 3/8""",Wilson,49.99,4.7,"1,344",In Stock,https://amazon.ca/Wilson-Tour-Slam-Red-Black/dp/B01MXXJS0E/ref=sr_1_3?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-3
HEAD Ti. Conquest Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 1/2 in Grip,Head,0,4.,294,In Stock,https://amazon.ca/HEAD-Ti-Conquest-Tennis-Racket/dp/B095RYQ9KC/ref=sr_1_4?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-4
"Wilson Tour Slam Strung Tennis Racquet, 4 1/2-Inch, Black/Green",Wilson,0,4.6,761,In Stock,https://amazon.ca/Wilson-Strung-Tennis-Racquet-2-Inch/dp/B00TQKBPV8/ref=sr_1_5?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-5
Wilson Federer Adult Tennis Racket,Wilson,97.88,4.,"3,389",Only 1 left in stock.,https://amazon.ca/Wilson-WRT30400U3-Federer-Tennis-Rackets/dp/B01AWLHRSO/ref=sr_1_6?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-6
Wilson Tour Slam Lite Tennis Racket,Wilson,62.99,4.4,"2,897",In Stock,https://amazon.ca/Wilson-Tour-Slam-Tennis-Racket/dp/B01C2MTHVG/ref=sr_1_7?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-7
HEAD Ti. Conquest Tennis Racket - Pre-Strung Head Light Balance 27 Inch Racquet - 4 1/4 in Grip,Head,51.78,4.4,437,In Stock,https://amazon.ca/HEAD-Ti-Conquest-Tennis-Racket/dp/B095RKT7V7/ref=sr_1_8?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-8
Wilson Aggressor 112 Tennis Racquet (Strung),Wilson,39.95,,7,,https://amazon.ca/Wilson-Aggressor-Tennis-Racquet-Strung/dp/B0C2DLPH6Q/ref=sr_1_9?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-9
Wilson Sporting Goods Essence Adult Strung Tennis Racket Without Cover,Wilson,49.95,4.,14,In Stock,https://amazon.ca/Wilson-Essence-Strung-Tennis-Racket/dp/B00AY6D4EY/ref=sr_1_10?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-10
"HEAD Ti. Instinct Comp Tennis Racket - Pre-Strung Light Balance 27 Inch Racquet - 4 1/4 in Grip, Blue",Head,91.71,4.6,67,In Stock,https://amazon.ca/HEAD-Instinct-Comp-Tennis-Racket/dp/B09MX7VC5P/ref=sr_1_11?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-11
HEAD Geo Speed Adult Tennis Racket - Pre-Strung Head Light Balance 27.5 Inch Racquet,Head,77.84,4.6,281,In Stock,https://amazon.ca/HEAD-Geo-Speed-Tennis-Racquet/dp/B08D6X7583/ref=sr_1_12?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-12
"Wilson Pro Staff Team V13 Adult Performance Tennis Racket - Grip Size 2-4 1/4""",Wilson,146.62,4.,59,,https://amazon.ca/Wilson-Sporting-Goods-WR068710U2-Staff/dp/B08LYXTSLD/ref=sr_1_13?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-13
HEAD Metallix Attitude Pro White Tennis Racket - Pre-Strung Adult Tennis Racquet for Control and Maneuverability,Head,93.05,4.4,46,In Stock,https://amazon.ca/HEAD-Metallix-Attitude-Tennis-Racket/dp/B08X6S9WCZ/ref=sr_1_14?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-14
Wilson U.S.Open Junior Tennis Racquet,Wilson,42.7,4.6,"1,398",,https://amazon.ca/US-Open-25-Tennis-Racket/dp/B07MTPK5Z5/ref=sr_1_15?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-15
HEAD Ti.S6 Tennis Racquet - Strung,Head,169.95,4.6,"1,567",In Stock,https://amazon.ca/HEAD-Ti-S6-Strung-Tennis-Racquet/dp/B000OQBPQ8/ref=sr_1_16?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-16
HEAD Metallix Attitude Pro White Tennis Racket - Pre-Strung Adult Tennis Racquet for Control and Maneuverability,Head,97.17,,42,,https://amazon.ca/HEAD-Metallix-Attitude-Tennis-Racket/dp/B08X5ZRBS3/ref=sr_1_17?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-17
"WILSON Blade Team V7 Adult Performance Tennis Racket - Grip Size 3-4 3/8"", Green",Wilson,89.41,4.7,54,,https://amazon.ca/Wilson-Blade-Team-Tennis-Racquet/dp/B084RT7BLN/ref=sr_1_18?keywords=tennis+racket&qid=1687976064&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-18
